lead_id,age,location,industry,job_role,company_size,website_visits,email_opens,time_spent_on_site,click_through_rate,past_purchases,inquiry_responses,lead_source,lead_quality,lead_score
1192082,58,North America,Manufacturing,Freelancer,Large,7,11,8.0,0.05999999999999999,5,1,Organic,Medium,73
00000000228767,49,North America,Retail,Student,Small,1,0,2.0,0.512961699814712,2,0,Social Media,Medium,46
10100001,40,Europe,Retail,Executive,Small,1,3,1.0,0.9666666666666667,9,4,Referral,High,72
226064,38,Europe,Manufacturing,Other,Small,4,2,1.0,0.539,1,4,Email Campaign,High,84
2662600,41,North America,Manufacturing,Manager,Small,0,1,2.5,0.0,8,0,Referral,High,15
01296,45,North America,Healthcare,Executive,Large,10,6,12.0,0.58,1,3,Email Campaign,Low,6
MLO_00003290,38,Asia,Manufacturing,Other,Small,0,1,0.5666666666666667,0.0,0,0,Referral,Medium,6
lead_1314,43,North America,Retail,Analyst,Medium,18,1,3.2,0.0,1,1,Organic,Medium,34
lead_id_62,38,North America,IT,Manager,Medium,35,13,13.5,0.0855208333333333,4,7,Paid Ads,High,71
leads_1717,33,Europe,IT,Analyst,Small,4,7,11.5,0.2236526688863427,1,3,Email Campaign,Medium,44
6207603,42,Europe,Finance,Manager,Small,8,28,9.205552,0.0,2,7,Other,High,64
10366973,31,North America,Healthcare,Freelancer,Large,16,13,2.52,0.52,1,6,Paid Ads,High,20
57774,60,North America,Healthcare,Other,Medium,0,0,0.0,0.3333333333333333,0,9,Social Media,Medium,43
0c206c9c-62c3-4a03-99c6-8f987d915eb1,30,North America,Healthcare,Other,Large,1,19,9.32,0.21,1,1,Organic,Medium,79
m4557973_1314722,51,Europe,Finance,Executive,Small,13,16,4.1403840869579,0.11363636363636,2,0,Paid Ads,Medium,44
60e8a471-864c-4e98-818d-df13d65c0012,60,Europe,Healthcare,Student,Small,1,0,2.3,0.0,0,1,Referral,Medium,27
1829406,58,Europe,Manufacturing,Executive,Large,1,1,6.69,0.58,9,7,Social Media,High,94
2162972,46,Other,Other,Analyst,Small,10,11,2.0,0.5,5,7,Email Campaign,Medium,38
69699,23,Asia,Retail,Other,Small,20,18,23.0,0.64,1,2,Paid Ads,High,90
1000429,60,Asia,Healthcare,Analyst,Large,0,0,0.0,0.26923076923077,1,0,Paid Ads,Low,11
05016,33,North America,Manufacturing,Other,Small,11,21,4.22,0.31,2,1,Email Campaign,Medium,24
ltfq53f99,35,North America,Healthcare,Executive,Enterprise,13,1,3.0,0.0,0,4,Email Campaign,High,68
40900,44,North America,Manufacturing,Other,Large,1,4,1.31,0.35,0,1,Social Media,High,46
124008,33,Asia,Finance,Manager,Small,0,1,6.0,0.366666666666667,1,0,Organic,High,71
Lead\_ID\_4308,31,Asia,Retail,Student,Small,10,5,22.0,0.85,5,1,Organic,High,50
14307,49,North America,Retail,Analyst,Small,2,3,1.0,0.0,2,6,Paid Ads,Medium,50
23565,42,North America,Manufacturing,Analyst,Small,16,0,6.75,0.08382107795155984,1,7,Referral,High,32
10030,35,Europe,Retail,Analyst,Small,0,9,1.0,0.3148148148148149,0,7,Social Media,Medium,65
42557,36,Europe,Manufacturing,Student,Small,1,9,1.666666666666667,0.0,2,0,Paid Ads,Medium,62
lead_id_78744,37,Asia,Healthcare,Other,Small,2,13,16.666666666666668,0.07142857142857142,0,6,Paid Ads,High,80
32795,29,North America,Healthcare,Student,Medium,2,29,0.0,0.49,2,0,Paid Ads,High,85
lead_000000000000033,39,North America,Healthcare,Freelancer,Small,0,0,0.0,0.0,0,0,Referral,Medium,7
8484,38,North America,Manufacturing,Student,Large,10,16,3.45,0.22,6,6,Email Campaign,Low,43
12855,36,Europe,Finance,Manager,Small,2,1,1.47,0.0,0,0,Referral,Low,1
