lead_id,age,location,industry,job_role,company_size,website_visits,email_opens,time_spent_on_site,click_through_rate,past_purchases,inquiry_responses,lead_source,lead_quality,lead_score
MLO_00000000,50,Asia,Manufacturing,Freelancer,Large,3,2,16.41,0.28,2,1,Other,High,31.08
MLO_00000001,36,South America,IT,Manager,Large,3,4,9.17,0.07,1,4,Paid Ads,High,55.66
MLO_00000002,29,North America,Retail,Other,Small,6,8,6.81,0.21,1,4,Other,Medium,79.43
MLO_00000003,42,Asia,Manufacturing,Manager,Small,9,4,20.04,0.27,1,3,Social Media,Medium,51.16
MLO_00000004,40,Europe,IT,Executive,Medium,6,2,27.73,0.2,0,1,Other,High,38.57
MLO_00000005,44,Europe,Finance,Executive,Small,5,4,7.17,0.03,0,1,Referral,Low,18.58
MLO_00000006,32,Asia,Healthcare,Executive,Large,7,6,17.58,0.26,1,4,Other,Low,63.92
MLO_00000007,32,South America,IT,Freelancer,Medium,1,4,16.35,0.19,2,2,Referral,Low,49.08
MLO_00000008,45,Europe,Healthcare,Other,Large,3,4,19.61,0.31,1,4,Other,High,52.11
MLO_00000009,57,North America,Finance,Manager,Small,3,5,18.05,0.06,2,3,Referral,Low,62.32
MLO_00000010,45,Asia,IT,Manager,Medium,11,2,8.91,0.18,1,3,Referral,Medium,63.68
MLO_00000011,24,North America,Retail,Executive,Medium,4,5,21.05,0.33,1,1,Referral,Medium,44.86
MLO_00000012,43,Asia,Manufacturing,Other,Small,2,3,8.91,0.03,1,1,Referral,High,24.8
MLO_00000013,23,Europe,IT,Other,Medium,5,3,19.94,0.3,0,3,Organic,Medium,55.74
MLO_00000014,45,South America,Finance,Student,Medium,7,2,9.7,0.17,1,1,Organic,Medium,37.12
MLO_00000015,51,Asia,IT,Other,Medium,2,1,3.39,0.23,2,0,Other,Medium,14.68
MLO_00000016,59,Asia,Healthcare,Other,Small,5,4,4.69,0.14,0,3,Social Media,High,40.91
MLO_00000017,23,North America,IT,Manager,Small,2,4,25.19,0.22,0,3,Paid Ads,Medium,41.94
MLO_00000018,42,Europe,Retail,Other,Medium,1,5,4.52,0.15,1,1,Organic,High,31.21
MLO_00000019,54,North America,IT,Other,Small,6,2,10.58,0.13,0,0,Referral,High,41.38
MLO_00000020,33,Europe,Manufacturing,Manager,Small,4,4,9.34,0.33,0,3,Organic,High,44.76
MLO_00000021,43,North America,IT,Other,Small,7,3,2.68,0.24,0,0,Referral,Low,31.93
MLO_00000022,46,Asia,Healthcare,Manager,Small,7,2,18.39,0.27,0,3,Social Media,Medium,41.29
MLO_00000023,48,North America,IT,Student,Small,6,3,24.16,0.26,1,0,Organic,Low,43.85
MLO_00000024,49,South America,Retail,Freelancer,Small,6,3,29.78,0.38,1,4,Paid Ads,Medium,58.96
MLO_00000025,37,Europe,Finance,Manager,Medium,6,1,28.14,0.29,2,3,Paid Ads,Medium,56.16
MLO_00000026,36,Europe,IT,Manager,Medium,7,5,2.43,0.3,1,0,Organic,Medium,56.04
MLO_00000027,24,Asia,IT,Other,Medium,4,3,8.47,0.32,2,4,Organic,Medium,61.37
MLO_00000028,58,Europe,Manufacturing,Manager,Large,9,2,12.95,0.16,1,1,Paid Ads,Medium,46.41
MLO_00000029,28,South America,Retail,Executive,Medium,4,5,26.38,0.43,1,2,Social Media,Medium,47.43
MLO_00000030,42,North America,Finance,Executive,Medium,6,0,11.44,0.12,0,0,Other,High,10.52
MLO_00000031,30,Asia,Healthcare,Student,Large,7,1,17.54,0.28,1,4,Organic,High,44.46
MLO_00000032,39,South America,IT,Manager,Medium,4,1,20.13,0.28,0,3,Organic,Medium,37.07
MLO_00000033,25,Europe,Finance,Other,Medium,6,1,9.64,0.49,0,4,Paid Ads,Medium,65.1
MLO_00000034,46,Europe,Healthcare,Other,Medium,2,3,17.88,0.29,1,2,Paid Ads,Medium,35.88
MLO_00000035,35,South America,Retail,Freelancer,Medium,6,3,2.48,0.17,1,2,Paid Ads,High,52.15
